User_ID,Model_Used,Likes,Dislikes,Donations ($),Time_Spent (min),Conversion_Rate (%),Recommendation_Accuracy (%),Engagement_(min/session),user_age,user_cuisine,sex
1,2,8,10,0.0,68,0.0,89.78,5.23,95,Chinese,Male
2,0,14,3,0.0,72,0.0,84.0,8.0,27,Thai,Male
3,1,20,2,11.09,163,8.45,77.27,14.82,60,French,Female
4,0,10,7,0.0,113,0.0,71.69,11.3,30,Greek,Male
5,1,8,10,5.42,171,11.42,81.65,11.4,69,French,Male
6,2,11,5,0.0,110,0.0,73.54,9.17,84,American,Female
7,1,11,4,0.0,127,0.0,80.88,18.14,91,French,Male
8,2,5,2,0.0,113,0.0,63.21,7.53,93,American,Male
9,0,15,7,0.0,84,0.0,79.07,5.6,67,Japanese,Male
10,2,6,8,0.0,123,0.0,77.07,10.25,53,Chinese,Male
11,1,11,10,0.0,158,0.0,89.46,19.75,59,Chinese,Male
12,2,9,10,0.0,110,0.0,83.46,9.17,55,French,Female
13,1,19,3,0.0,152,0.0,82.41,11.69,71,Greek,Female
14,0,10,2,3.48,100,8.87,65.43,14.29,69,Thai,Female
15,0,10,6,0.0,174,0.0,70.03,15.82,14,Greek,Female
16,1,5,5,0.0,156,0.0,66.03,31.2,31,Thai,Male
17,2,14,6,0.0,162,0.0,64.45,11.57,29,Thai,Female
18,1,12,6,0.0,65,0.0,65.73,5.91,17,Spanish,Male
19,0,15,1,0.0,60,0.0,78.45,5.45,41,American,Female
20,2,16,1,0.0,157,0.0,79.26,10.47,26,Mexican,Female
21,0,6,2,0.0,155,0.0,89.63,10.33,1,Italian,Male
22,2,11,5,0.0,60,0.0,67.3,5.0,29,Italian,Female
23,2,12,6,0.0,60,0.0,86.71,7.5,97,Italian,Female
24,0,12,3,0.0,158,0.0,78.58,14.36,5,American,Female
25,0,14,10,0.0,114,0.0,62.02,22.8,94,French,Male
26,1,19,4,0.0,65,0.0,68.47,9.29,46,Greek,Male
27,0,10,9,0.0,145,0.0,71.88,24.17,65,American,Female
28,2,8,8,0.0,142,0.0,74.41,23.67,46,American,Female
29,0,6,2,0.0,86,0.0,67.06,7.17,91,French,Female
30,2,14,8,0.0,121,0.0,81.71,10.08,45,American,Male
31,1,19,8,14.71,102,10.4,86.82,17.0,85,American,Male
32,1,18,5,2.97,133,8.9,74.49,22.17,52,Japanese,Female
33,1,13,6,0.0,99,0.0,62.98,11.0,99,Thai,Female
34,1,17,10,0.0,104,0.0,65.75,8.67,41,Japanese,Female
35,2,15,4,14.19,79,9.85,82.02,11.29,71,American,Female
36,2,15,10,0.0,99,0.0,78.99,8.25,92,Greek,Female
37,1,8,1,0.0,107,0.0,77.91,8.92,26,Italian,Female
38,1,13,5,0.0,96,0.0,79.14,10.67,87,Italian,Female
39,2,13,7,14.83,96,5.92,87.23,6.4,56,Japanese,Female
40,1,6,5,0.0,144,0.0,85.13,16.0,42,Thai,Male
41,0,10,6,0.0,113,0.0,80.19,10.27,95,American,Male
42,1,17,10,0.0,157,0.0,79.81,17.44,41,Chinese,Female
43,2,13,10,0.0,94,0.0,66.82,6.71,94,Chinese,Female
